id,vote
1219,Certain to vote
1220,Certain to vote
1221,Certain to vote
1222,Certain to vote
1223,Certain to vote
1224,Will probably vote
1225,Will probably vote
1226,Certain to vote
1227,Certain to vote
1228,Will probably vote
1229,About 50/50 chance
1230,Certain to vote
1231,Will probably vote
1232,Probably will not vote
1233,Certain to vote
1234,Will probably vote
1235,Will probably vote
1236,Will probably vote
1237,Certain to vote
1238,Certain to vote
1239,Certain to vote
1240,Certain to vote
1241,Certain to vote
1242,Certain to vote
1243,Certain to vote
1244,Probably will not vote
1245,Certain to vote
1246,Certain to vote
1247,Certain to vote
1248,Certain to vote
1249,Certain to vote
1250,Certain to vote
1251,Certain to vote
1252,Will probably vote
1253,Certain to vote
1254,About 50/50 chance
1255,Certain to vote
1256,Certain to vote
1257,Certain to vote
1258,About 50/50 chance
1259,Certain to vote
1260,Certain to vote
1261,Certain to vote
1262,About 50/50 chance
1263,About 50/50 chance
1264,Certain to vote
1265,Certain to vote
1266,About 50/50 chance
1267,Certain to vote
1268,Will probably vote
1269,Certain to vote
1270,About 50/50 chance
1271,Will probably vote
1272,About 50/50 chance
1273,Not sure
1274,Will probably vote
1275,Certain to vote
1276,About 50/50 chance
1277,About 50/50 chance
1278,Certain to vote
1279,Certain to vote
1280,Certain to vote
1281,Certain to vote
1282,Certain to vote
1283,About 50/50 chance
1284,Certain to vote
1285,Certain to vote
1286,Certain to vote
1287,Certain to vote
1288,Certain to vote
1289,Certain to vote
1290,Certain to vote
1291,About 50/50 chance
1292,Probably will not vote
1293,About 50/50 chance
1294,Certain to vote
1295,Not sure
1296,About 50/50 chance
1297,Certain to vote
1298,Will probably vote
1299,Certain to vote
1300,Certain to vote
1301,Certain to vote
1302,Certain to vote
1303,Certain to vote
1304,Certain to vote
1305,Will probably vote
1306,Certain to vote
1307,Will probably vote
1308,Certain to vote
1309,Certain to vote
1310,Will probably vote
1311,Certain to vote
1312,Will probably vote
1313,Certain to vote
1314,Certain to vote
1315,Certain to vote
1316,Certain to vote
1317,Certain to vote
1318,Certain to vote
1319,Certain to vote
1320,Certain to vote
1321,Probably will not vote
1322,Will probably vote
1323,Certain to vote
1324,Certain to vote
1325,Not sure
1326,Certain to vote
1327,Will probably vote
1328,Certain to vote
1329,Will probably vote
1330,Certain to vote
1331,Certain to vote
1332,Will probably vote
1333,Certain to vote
1334,Certain to vote
1335,About 50/50 chance
1336,Certain to vote
1337,Certain to vote
1338,Will probably vote
1339,Not sure
1340,Certain to vote
1341,Will probably vote
1342,Certain to vote
1343,Certain to vote
1344,Certain to vote
1345,Certain to vote
1346,Certain to vote
1347,Certain to vote
1348,Certain to vote
1349,About 50/50 chance
1350,Certain to vote
1351,Certain to vote
1352,Certain to vote
1353,Certain to vote
1354,Certain to vote
1355,Certain to vote
1356,Certain to vote
1357,Certain to vote
1358,Will probably vote
1359,Not sure
1360,Certain to vote
1361,Certain to vote
1362,Certain to vote
1363,Certain to vote
1364,Certain to vote
1365,Certain to vote
1366,Certain to vote
1367,Certain to vote
1368,Certain to vote
1369,Certain to vote
1370,Certain to vote
1371,Certain to vote
1372,Certain to vote
1373,Will probably vote
1374,Certain to vote
1375,About 50/50 chance
1376,Certain to vote
1377,Certain to vote
1378,Probably will not vote
1379,Certain to vote
1380,Certain to vote
1381,Certain to vote
1382,Certain to vote
1383,Certain to vote
1384,Certain to vote
1385,Certain to vote
1386,Certain to vote
1387,Certain to vote
1388,Will probably vote
1389,Certain to vote
1390,Certain to vote
1391,Certain to vote
1392,Certain to vote
1393,Probably will not vote
1394,Will probably vote
1395,Certain to vote
1396,Will probably vote
1397,Certain to vote
1398,Certain to vote
1399,Certain to vote
1400,Certain to vote
1401,About 50/50 chance
1402,Certain to vote
1403,Certain to vote
1404,Certain to vote
1405,Certain to vote
1406,Certain to vote
1407,Certain to vote
1408,Certain to vote
1409,Certain to vote
1410,Certain to vote
1411,Certain to vote
1412,Certain to vote
1413,Certain to vote
1414,Certain to vote
1415,About 50/50 chance
1416,Probably will not vote
1417,Certain to vote
1418,Certain to vote
1419,Certain to vote
1420,Certain to vote
1421,Certain to vote
1422,Certain to vote
1423,About 50/50 chance
1424,Certain to vote
1425,Certain to vote
1426,Certain to vote
1427,Certain to vote
1428,About 50/50 chance
1429,Certain to vote
1430,Certain to vote
1431,Certain to vote
1432,Certain to vote
1433,About 50/50 chance
1434,Certain to vote
1435,About 50/50 chance
1436,About 50/50 chance
1437,About 50/50 chance
1438,About 50/50 chance
1439,Certain to vote
1440,Certain to vote
1441,Certain to vote
1442,Certain to vote
1443,Will probably vote
1444,About 50/50 chance
1445,Certain to vote
1446,Certain to vote
1447,Certain to vote
1448,Certain to vote
1449,Probably will not vote
1450,Certain to vote
1451,Will probably vote
1452,About 50/50 chance
1453,Probably will not vote
1454,Will probably vote
1455,Probably will not vote
1456,Certain to vote
1457,Will probably vote
1458,Certain to vote
1459,Certain to vote
1460,Not sure
1461,Will probably vote
1462,Certain to vote
1463,Certain to vote
1464,Certain to vote
